Timestamp,Source,Destination,TunnelType,Name,FreshnessPeriod,MustBeFresh,Nonce,InterestLifetime
1472017257.068399,127.0.0.1,127.0.0.1,UDP,48,INTEREST,/example/testApp/randomData,,1,2817859521,1000
1472017257.073000,127.0.0.1,127.0.0.1,UDP,398,DATA,/example/testApp/randomData/testApp/%FD%00%00%01V%BB%10%D2n,10000,,,
1472017258.335130,127.0.0.1,127.0.0.1,UDP,48,INTEREST,/example/testApp/randomData,,1,3527896822,1000
1472017258.337617,127.0.0.1,127.0.0.1,UDP,398,DATA,/example/testApp/randomData/testApp/%FD%00%00%01V%BB%10%D2n,10000,,,
1472017258.745592,127.0.0.1,127.0.0.1,UDP,48,INTEREST,/example/testApp/randomData,,1,4027954429,1000
1472017258.748325,127.0.0.1,127.0.0.1,UDP,398,DATA,/example/testApp/randomData/testApp/%FD%00%00%01V%BB%10%D2n,10000,,,
1472017259.079753,127.0.0.1,127.0.0.1,UDP,48,INTEREST,/example/testApp/randomData,,1,3895501805,1000
1472017259.081564,127.0.0.1,127.0.0.1,UDP,398,DATA,/example/testApp/randomData/testApp/%FD%00%00%01V%BB%10%D2n,10000,,,
1472017259.365443,127.0.0.1,127.0.0.1,UDP,48,INTEREST,/example/testApp/randomData,,1,3122501,1000
1472017259.368557,127.0.0.1,127.0.0.1,UDP,398,DATA,/example/testApp/randomData/testApp/%FD%00%00%01V%BB%10%D2n,10000,,,
1472017259.643835,127.0.0.1,127.0.0.1,UDP,48,INTEREST,/example/testApp/randomData,,1,1951754468,1000
1472017259.646068,127.0.0.1,127.0.0.1,UDP,398,DATA,/example/testApp/randomData/testApp/%FD%00%00%01V%BB%10%D2n,10000,,,
1472017259.904944,127.0.0.1,127.0.0.1,UDP,48,INTEREST,/example/testApp/randomData,,1,3325038892,1000
1472017259.910547,127.0.0.1,127.0.0.1,UDP,398,DATA,/example/testApp/randomData/testApp/%FD%00%00%01V%BB%10%D2n,10000,,,
1472017260.185177,127.0.0.1,127.0.0.1,UDP,48,INTEREST,/example/testApp/randomData,,1,316671589,1000
1472017260.188551,127.0.0.1,127.0.0.1,UDP,398,DATA,/example/testApp/randomData/testApp/%FD%00%00%01V%BB%10%D2n,10000,,,
1472017260.453641,127.0.0.1,127.0.0.1,UDP,48,INTEREST,/example/testApp/randomData,,1,1577121667,1000
1472017260.456303,127.0.0.1,127.0.0.1,UDP,398,DATA,/example/testApp/randomData/testApp/%FD%00%00%01V%BB%10%D2n,10000,,,
1472017261.155723,127.0.0.1,127.0.0.1,UDP,48,INTEREST,/example/testApp/randomData,,1,675865608,1000
1472017261.158530,127.0.0.1,127.0.0.1,UDP,398,DATA,/example/testApp/randomData/testApp/%FD%00%00%01V%BB%10%D2n,10000,,,
